,Ti_responses
738,No yellow in corner.
739,"Answer the following question given the text:
Text:  The traditional Simpsons opening sequence was replaced in this episode with a redesigned version that spoofed the opening sequence of the HBO medieval fantasy series Game of Thrones . The Game of Thrones opening shows the various locations featured in the series on a three @-@ dimensional map of the fictional continent Westeros . In the Simpsons opening , these locations were substituted with places in Springfield , and The Wall was replaced with the Simpson family 's couch . The theme song featured in the Game of Thrones opening sequence was arranged by The Simpsons composer Alf Clausen and used in the Simpsons opening as well . Nicholas   , known for uploading a cappella covers of famous songs on YouTube , performed the Simpsons theme song over the closing credits of "" Exit Through the Kwik @-@ E @-@ Mart "" . He was recruited after a staff member of the show saw his cover of the Simpsons theme on YouTube . 

Question: Is this a vegetable stand?

Respond only with the final answer, without explanation or full sentences.

No"
740,No
741,No
742,"Answer the following question given the text:
Text:  Lawrence   as Mr. Kil , one of Gustav Graves ' henchmen . 

Question: What are the elephants doing in the water?

Respond only with the final answer, without explanation or full sentences.

Swimming"
743,0
744,No
745,No boy is present in the text.
746,"Answer the following question given the text:
Text:  The Mongol army pressed on after the monsoon season . In the following dry season of 1277 – 78 , c . December 1277 , a Mongol army of 3800 led by Nasr al @-@ Din , son of Gov. Sayyid   , advanced to   , which defended the   Pass . They occupied the fort and destroyed a large number of abandoned stockades . But they found the heat excessive and returned . 

Question: Is this woman wearing a dress?

Respond only with the final answer, without explanation or full sentences.

No"
747,"Answer the following question given the text:
Text:  Ayola 's first prolific television role was in the ITV drama Soldier Soldier , in which she starred throughout its third series in 1993 as soldier 's wife Bernie Roberts . Ayola credits her chemistry with co @-@ star     , who played her on @-@ screen husband Luke Roberts , for winning her her audition . She went on to appear in Gone With the Wind sequel Scarlett , and star in Welsh soap opera Tiger Bay . She has spoken critically of the way the BBC treated the soap , moving it around the schedules and declining to commission a second series . She acted alongside Pauline Quirke in both Maisie Raine and Being April , deeming Quirke to be a "" fantastic "" actress , and one she would work alongside again "" like a shot "" . In 1996 , Ayola appeared at the National Theatre in Helen   's adaptation of Leo Tolstoy 's War and Peace . In 2001 , she became a presenter of the BBC Wales arts programme Double Yellow , alongside poet Owen   and performance artist Mark Rees . She posed nude but for a pair of yellow rubber gloves to promote the show 's launch , and was highly critical of the BBC when the show was cancelled midway through its second series . She has since concluded that "" the kind of audience they would like to bring in with shows like Double Yellow aren 't really into watching TV "" , but at the time was outspoken against the show 's cancellation , stating : 

Question: Are these animals all the same species?

Respond only with the final answer, without explanation or full sentences.

No"
748,No plate with a dessert in the text.
749,No
750,"Answer the following question given the text:
Text:  Richard Button 18 ? ?   

Question: What does the man's shirt say?

Respond only with the final answer, without explanation or full sentences.

No shirt"
751,0
752,"Answer the following question given the text:
Text:  The contingents from New South Wales and Victoria sailed for China on 8 August 1900 . Arriving in Tientsin , the Australians provided 300 men to an 8 @,@ 000 @-@ strong multinational force tasked with capturing the Chinese forts at Pei Tang , which dominated a key railway . They arrived too late to take part in the battle , but were involved in the attack on the fortress at Pao @-@ ting Fu , where the Chinese government was believed to have found asylum after Peking was captured by western forces . The Victorians joined a force of 7 @,@ 500 men on a ten @-@ day march to the fort , once again only to find that it had already surrendered . The Victorians then garrisoned Tientsin and the New South Wales contingent undertook garrison duties in Peking . HMCS Protector was mostly used for survey , transport , and courier duties in the Gulf of   , before departing in November . The naval brigades remained during the winter , unhappily performing policing and guard duties , as well as working as railwaymen and fire @-@ fighters . They left China in March 1901 , having played only a minor role in a few offensives and punitive expeditions and in the restoration of civil order . Six Australians died from sickness and injury , but none were killed as a result of enemy action . 

Question: Who is on the mirror?

Respond only with the final answer, without explanation or full sentences.

No one"
753,He is not.
754,The skater is not keeping his jeans out of his way.
755,No umbrella in the text.
756,Blue
757,No
758,No
759,No
760,"Answer the following question given the text:
Text:  With the guerrillas requiring supplies , Koos de la Rey lead a force of 3 @,@ 000 Boers against   , on the Elands River in Western Transvaal . The post held a large quantity of stores and was defended by 300 Australians and 200 Rhodesians . The attack began on 4 August 1900 with heavy shelling causing 32 casualties . During the night the defenders dug in , enduring shelling and rifle fire . A relief force was stopped by the Boers , while a second column turned back believing that the post had already been relieved . The siege lasted 11 days , during which more than 1 @,@ 800 shells were fired into the post . After calls to surrender were ignored by the defenders , and not prepared to risk a frontal attack , the Boers eventually retired . The Siege of Elands River was one of the major achievements of the Australians during the war , with the post finally relieved on 16 August . 

Question: Is everyone seated?

Respond only with the final answer, without explanation or full sentences.

No"
761,"Answer the following question given the text:
Text:  The sculpture was constructed in Sheffield by Thomas Heatherwick Studio ,   Lucas , Flint and Neill and Westbury Structures . It was approved at the start of 2003 , with the central core arriving in Manchester on 13 June 2004 . This was the largest load that could be transferred via road from the factory , and required a police escort . This central core was lifted into place in August 2004 , after which the 180 spikes could begin being attached . Early estimates had given an optimistic completion date of July 2003 , which contributed to the sculpture gaining the nickname G of the Bang . 

Question: Are all of the window blinds closed?

Respond only with the final answer, without explanation or full sentences.

No"
762,No horse is attached to anything in the text.
763,Jinx
764,"Answer the following question given the text:
Text:  Sharon   , ed . ( 1997 ) . Islands in Captivity : The International Tribunal on the Rights of Indigenous Hawaiians . Boulder CO : South End Press . ISBN 978 @-@ 0 @-@   @-@ 568 @-@ 8 . Re @-@ released as Churchill , Ward ( 2005 ) . Sharon   , ed . Islands in Captivity : The Record of the International Tribunal on the Rights of Indigenous Hawaiians . Boulder CO : South End Press . ISBN 978 @-@ 0 @-@   @-@ 738 @-@ 5 . 

Question: What is the girl holding?

Respond only with the final answer, without explanation or full sentences.

No girl is holding anything in the image."
765,Black
766,No vegetable is being eaten in the text.
767,"Answer the following question given the text:
Text:  After Slammiversary ended , crews began to disassemble the set used for the event . During this time , a man named Kevin "" Angus ""   was removing a light array when the scaffolding he was positioned on collapsed , causing him to slam against the concrete floor below . He was rushed to the Baptist DeSoto Hospital in Southaven , Mississippi where he was pronounced deceased . Another worker named Paul Martin was also taken to the hospital due to his thumb being cut off in the incident . TNA released a statement regarding the incident the next day through their website . The June 12 episode of Impact ! was dedicated to   , with a banner at the beginning of the show stating "" In memory Kevin   ( 1963 – 2008 ) "" . A moment of silence was held prior to the Impact ! tapings after Slammiversary in honor of   . 

Question: Is the train in motion?

Respond only with the final answer, without explanation or full sentences.

No"
768,"Answer the following question given the text:
Text:  Starr taped the basic track at Evergreen Recording Studios in Los Angeles on 4 November 1980 , with additional recording taking place on 1 – 5 December at Nassau 's Compass Point Studios . Among the large cast of musicians supporting Starr were Nilsson ( vocals ) , Jim Keltner ( drums ) , Jane Getz ( piano ) , Dennis   and Richie Zito ( guitars ) , and a four @-@ piece horn section led by saxophonist Jerry Jumonville . 

Question: How many sink in the bathroom?

Respond only with the final answer, without explanation or full sentences.

0"
769,No
770,No
771,Republican Party
772,SpongeBob SquarePants
773,Cake
774,"Answer the following question given the text:
Text:  It is also the ' Papa ' of   's poem Da Sang o da Papa men , now adopted as part of the folksong tradition , as set to music by   Manson . The insistent chorus chant , '   Foula Doon ! ' , is particularly striking . 

Question: What city is the cop car from?

Respond only with the final answer, without explanation or full sentences.

New York City"
775,Tallgrass Prairie
776,"Answer the following question given the text:
Text:  Route 50 is a state highway in the southern part of the U.S. state of New Jersey . It runs 26 @.@ 02 mi ( 41 @.@ 88 km ) from an intersection with U.S. Route 9 ( US 9 ) and the Garden State Parkway in Upper Township , Cape May County to an intersection with US 30 and County Route 563 ( CR 563 ) in Egg Harbor City , Atlantic County . The route , which is mostly a two @-@ lane undivided road , passes through mostly rural areas of Atlantic and Cape May counties as well as the communities of Tuckahoe , Corbin City ,   Manor , and Mays Landing . NJ 50 intersects several roads , including Route 49 in Tuckahoe , US 40 in Mays Landing , and US 322 and the Atlantic City Expressway in Hamilton Township . 

Question: How many more animals are in the background than the foreground of the picture?

Respond only with the final answer, without explanation or full sentences.

0"
777,Stone
778,"Answer the following question given the text:
Text:  Roger Ebert gave the film three and a half stars out of four , calling it "" well @-@ cast "" and commending it for playing to each actor 's strengths . Ebert gave particular praise to Spacey , labeling him "" superb "" , and Aniston , judging her performance to be a "" surprise "" and a return to form , stating "" she has acute comic timing and hilariously enacts alarming sexual   "" . Ebert called Horrible Bosses "" cheerful and wicked "" . Lisa Schwarzbaum of Entertainment Weekly reacted positively , calling the film "" a bouncy , well @-@ built , delightfully nasty tale of resentment , desperation , and amoral revenge "" and complimented the casting of the protagonists and antagonists . The A.V. Club 's Nathan Rabin also praised the cast , stating that the picture "" succeeds almost entirely on the chemistry of its three leads , who remain likeable even while resorting to homicide "" , adding the "" acting more than compensates for the film 's other failings . "" Rabin singled out Day 's performance as "" a potent illustration of how a brilliant character actor with a spark of madness can elevate a ramshackle lowbrow farce into a solid mainstream comedy through sheer force of charisma . "" Edward Douglas of ComingSoon.net credited director Seth Gordon with having assembled "" the perfect cast "" , claiming "" the six leads kill in every scene "" , but echoed Nathan Rabin 's sentiments that Day is the "" real standout "" . Douglas summarized the picture as "" dark fun that works better than expected due to a well @-@ developed script , an impeccable cast and a director who knows how to put the two together "" . A. O. Scott of The New York Times stated "" the timing of the cast ... is impeccable "" and appreciated that the script did not attempt "" to cut its coarseness with a hypocritical dose of sweetness or respectability "" . The review concluded that "" in the ways that count and even when it shouldn ’ t , Horrible Bosses works . "" 

Question: How many women are in the room?

Respond only with the final answer, without explanation or full sentences.

1"
779,"Answer the following question given the text:
Text:  As noted by the religious scholar Hubert   , Scientology came to be seen as a "" serious political danger that not only threatened to turn individuals into will @-@ less zombies , but was also conspiring to overthrow the democratic constitution of the state "" . This view of Scientology as a public enemy ,   adds , "" became a matter of political correctness "" : senior political figures became involved in launching campaigns against Scientology , and being suspected of any association with it resulted in social ostracism . Stephen A. Kent , writing in 1998 , noted that officials at all levels of German government shared the insistence that Scientology should be suppressed . Scientology was viewed as "" a totalitarian , business @-@ driven organization [ ... ] guilty of significant human rights abuses . "" Officials examining primary and secondary sources , legal documents , and the testimony of former members , concluded that the organization was "" antithetical to a democratic state "" . Federal ministries and state governments were asked to use all legal means at their disposal to check the activities of Scientology . 

Question: What type of room is this?

Respond only with the final answer, without explanation or full sentences.

Antithetical to a democratic state"
780,"Answer the following question given the text:
Text:  The police arrest Nick , Dale and Kurt , but the navigation @-@ system operator , Gregory , reveals that it is his companies policy to record all conversations for quality assurance . Gregory plays the tape that has   confessing he murdered   .   is sentenced to 25 years to life in prison , while the friends get their charges waived . Nick is promoted to president of the company under a sadistic CEO , Kurt retains his job under a new boss , and Dale blackmails Julia into ending her harassment by convincing her to sexually harass a supposedly unconscious patient , while Jones secretly records the act . 

Question: What pattern is the tablecloth?

Respond only with the final answer, without explanation or full sentences.

No tablecloth in the text."
781,No
782,No pets
783,"Answer the following question given the text:
Text:  His mother was a college softball player for the NEO Lady Norse , while his father was a college basketball player for the   Warriors and the Southeastern Oklahoma State Savage Storm . McCarty 's siblings were also college athletes ; Tiffany played softball for the McPherson Bulldogs while Jordan was a quarterback with the   Tigers . 

Question: What type of food is this?

Respond only with the final answer, without explanation or full sentences.

No food"
784,"Answer the following question given the text:
Text:  During the course of the fighting around the Hongorai , the Australians lost 38 men killed and 159 wounded , while the Japanese lost at least 275 men killed . Following the battle , the Australians continued their advance towards Buin at the southern end of the island . Throughout the remainder of the month and into June , the 15th Brigade advanced along the Buin Road , crossing the Hari on 10 June . Beyond the river , the Japanese resolved to hold the food growing areas in order to protect their precarious food supply , and they consequently occupied a series of deep entrenchments . These were steadily reduced with airstrikes and artillery , and the 15th Brigade subsequently crossed   River before being relieved by Brigadier Noel Simpson 's 29th Brigade in early July . 

Question: Are these two headed to prom?

Respond only with the final answer, without explanation or full sentences.

No"
785,No
786,No
787,The woman doesn't move around easily because she is in a wheelchair.
788,There is no sign in the image.
789,No bikes parked in the text.
790,No bag
791,No
792,No pans hang on the wall.
793,No umbrella in the image.
794,"Answer the following question given the text:
Text:  Horrible Bosses was released on July 8 , 2011 in the United States and Canada across 3 @,@ 040 theaters . It grossed $   on the first day , giving it the second largest opening gross for an original R @-@ rated comedy of the summer , behind Bad Teacher ( $   ) . For the opening weekend , the film took in a total of $ 28 @,@ 302 @,@ 165 , an average of $ 9 @,@ 310 per theater , making it the number two film for the weekend , behind Transformers : Dark of the Moon ( $   ) , the second highest @-@ grossing opening weekend for an original R @-@ rated comedy , again behind Bad Teacher ( $   ) , and the highest @-@ grossing opening weekend ever for a dark / black comedy film , overtaking the 2004 The Stepford Wives ( $   ) . The opening weekend audience was 51 % male , and 64 % of the audience were over 25 years of age . The second weekend ( 15 – 17 July ) saw a further 94 theaters added , for a total of 3 @,@ 134 . Box office revenue dropped by a "" respectable "" 38 % , taking $   for a total gross of $   in ten days . The film ranked third for the weekend . It remained in the top five films during its third week , dropping 33 % and leaving thirty theaters from the previous weekend , to take in $   for a gross of $   in 17 days . On July 28 , 2011 , with $   after 20 days , Horrible Bosses surpassed The War of the Roses ( $   ) to become the highest grossing dark / black comedy film in unadjusted dollars . 

Question: Is this a zoo?

Respond only with the final answer, without explanation or full sentences.

No"
795,No
796,No
797,0
798,Nowhere
799,No
800,"Answer the following question given the text:
Text:  Despite his reputation as an artist and seal @-@ carver , Hu was primarily a publisher . His publishing house , the Ten Bamboo Studio , produced reference works on calligraphy , poetry and art ; medical textbooks ; books on etymology and phonetics ; and copies of as well as commentaries on the Confucian Classics . Unlike other publishers in the area , the Ten Bamboo Studio did not publish works of narrative fiction such as plays or novels . This bias towards academia was likely a consequence of the studio 's location : the mountain on which Hu took up residence was just to the north of the Nanjing   ( National Academy ) , which provided a captive market for academic texts . Between 1627 and 1644 , the Ten Bamboo Studio produced over twenty printed books of this kind , aimed at a wealthy , literary audience . The studio 's earliest publications were medical textbooks , the first of which , Tested   for Myriad Illnesses (     ,   ) was published in 1631 and proved popular enough to be reissued ten years later . Hu 's brother   was a medical practitioner and appears to have been the author of these books . 

Question: How many meals are on the table?

Respond only with the final answer, without explanation or full sentences.

0"
801,Away
802,No
803,"Answer the following question given the text:
Text:  He has contributed to many charities , including   Hospice Care for Children , and The Trevor Project for suicide prevention among LGBTQ youth , which gave him its Hero Award in 2011 . 

Question: Is this train carrying passengers?

Respond only with the final answer, without explanation or full sentences.

No"
804,"Answer the following question given the text:
Text:  Eventually the British government decided that the campaign in Sudan was not worth the effort required and left a garrison in   . The New South Wales Contingent sailed for home on 17 May , arriving in Sydney on 19 June 1885 . Approximately 770 Australians served in Sudan ; nine subsequently died of disease during the return journey while three had been wounded during the campaign . 

Question: What are the items in the pan on the left?

Respond only with the final answer, without explanation or full sentences.

No pan on left."
805,"Answer the following question given the text:
Text:  The uneasy arrangement would persist until 1297 . The Mongols continued to occupy northern Burma to   as the province of   ( Cheng @-@ Mien ) but ended the fictional central Burma province of   on 18 August 1290 . Meanwhile , the power struggle in central Burma continued with the three brothers blatantly consolidating support . To check their rising power ,   submitted to the Mongols in January 1297 , and was recognized by the Yuan emperor   Khan as King of Pagan on 20 March 1297 . The emperor also gave Chinese titles to the brothers as subordinates of   . The brothers resented the new arrangement as it directly reduced their power . On 17 December 1297 , the three brothers overthrew   , and founded the   Kingdom . The dethronement forced the Mongol government to intervene again , leading to the second Mongol invasion of Burma ( 1300 – 01 ) . The invasion failed . Two years later , on 4 April 1303 , the Mongols abolished the province of   ( Cheng @-@ Mien ) , evacuated   , and returned to Yunnan . 

Question: Are they taste testing or socially drinking the wine?

Respond only with the final answer, without explanation or full sentences.

No"
806,"Answer the following question given the text:
Text:  The British did not attempt to take the fort again . Within days of the battle ,   learned of the signing of the Declaration of Independence in Philadelphia . The British troops were reembarked on their transports , and on July 21 the British fleet withdrew northward to help the main British army in its campaign against New York City . To add insult to injury , one of the British transports grounded off Long Island and was captured by Patriot forces . 

Question: Where is the Thrasher logo?

Respond only with the final answer, without explanation or full sentences.

No thrasher logo"
807,"Answer the following question given the text:
Text:  In early 2008 , Thomas   , Sect Commissioner of the German Lutheran Church in Berlin and Brandenburg , and the historian Guido Knopp both likened the Scientologist Hollywood actor Tom Cruise to Goebbels , the Nazi propaganda minister .   and Knopp cited a leaked Scientology video in which Cruise was seen asking the audience whether Scientologists should "" clean up "" the world , the audience responding with enthusiastic cheers – cheers which   and Knopp felt were reminiscent of the audience 's response to Goebbels ' famous question , "" Do you want total war ? ""   's and Knopp 's comments found few critics in Germany . Most Germans consider Scientology a subversive organization . In 1997 , Time reported that 70 % of Germans favoured banning Scientology ; a poll conducted in September 2008 by Der Spiegel found 67 % support for a ban . 

Question: Is the space organized?

Respond only with the final answer, without explanation or full sentences.

No"
808,No bed sheet in the image.
809,"Answer the following question given the text:
Text:  At the federal level , Scientology lost a complaint against continued surveillance by the   in November 2004 . The federal court based its opinion on its judgment that the aims of Scientology , as outlined by L. Ron Hubbard in his writings , were incompatible with the German constitution . Lawyers acting for the Federal Office for the Protection of the Constitution pointed out that Hubbard had written that civil rights , for example , should be restricted to Scientologists , and they asserted that the Scientology organization was taking systematic steps to infiltrate society and government institutions in order to prevent anti @-@ Scientology legislation . Opposing counsel acting for the Church of Scientology had contended that Scientology was non @-@ political , its aims were the liberation of the human being , and that Hubbard 's instructions were valid only within the Church of Scientology and were subject to interpretation , and at any rate there was no effort to implement these instructions in Germany . The court disagreed and ruled that many sources , some of them not accessible to the general public , indicated that the aims of the Church of Scientology did include the abrogation of the principle of equality and other essential human rights . 

Question: What is in the man's right hand?

Respond only with the final answer, without explanation or full sentences.

No man in the image."
810,No
811,0
812,"Answer the following question given the text:
Text:  In 2005 , the Denver Post reported that Churchill 's military records show he was trained as a film projectionist and light truck driver , but they do not reflect paratrooper school or   training . The 75th Ranger Regiment Association found no record of Churchill having been a member of the unit , or a   team . 

Question: What is on the man's head?

Respond only with the final answer, without explanation or full sentences.

Hat"
813,"Answer the following question given the text:
Text:  Nick flees at high speed , setting off a traffic camera . The trio meet to discuss their reservations about continuing with their plan . They are arrested by the police , who believe the camera footage makes them suspects in Bobby 's murder . Lacking evidence , the police are forced to let the trio go free . The trio consult with Jones again , but learn that he never actually killed anyone , having been imprisoned for bootlegging the film Snow Falling on Cedars . Jones suggests that they get   to confess and secretly tape it . The three accidentally crash   's surprise birthday party , where Nick and Dale get   to confess to the murder before realizing that Kurt , who has the audio recorder , is elsewhere having sex with Rhonda .   threatens to kill all three for attempting to blackmail him . They flee by car , but   gives chase and repeatedly rams their vehicle . Believing they have committed a crime , the car 's navigation @-@ system operator remotely disables Kurt 's car , allowing   to catch and hold them at gunpoint .   shoots himself in the leg as he boasts about his plan to frame them for murdering Bobby and attempting to kill him to get rid of the witness . 

Question: What colors are on the plane?

Respond only with the final answer, without explanation or full sentences.

No plane in the text."
814,"Answer the following question given the text:
Text:  During the American Civil Rights Movement in the 1960s , Meridian was home to a Council of Federated Organizations (   ) office and several other activist organizations . James Chaney and other local residents , along with Michael   , his wife Rita , and Andrew Goodman , volunteers from the North , worked to create a community center , holding classes to help prepare African Americans in the area to regain the power to vote . Whites in the area resented the activism , and racial tension often resulted in violence . In June 1964 , Chaney ,   , and Goodman went to Neshoba County , Mississippi , to meet with members of a black church that had been bombed and burned . The three disappeared that night on their way back to Meridian . Following a massive FBI investigation , their murdered bodies were found two months later , buried in an earthen dam . 

Question: How many measuring cups are on the counter?

Respond only with the final answer, without explanation or full sentences.

0"
815,No
816,"Answer the following question given the text:
Text:  Though the Meridian Star is now the only newspaper printed in the city , there have been a few other historical newspapers . One such paper is the Memo Digest , a ten to twenty page publication published during the 1970s . The Digest focused on issues relevant to the African @-@ American population of the region , gathering a circulation of about 5 @,@ 000 people . Other newspapers in the city have included The Colored Messenger , The State , The Weekly Mercury , The Blade , Weekly Echo , Fair Play ,   , Meridian Morning Sun , Teacher and Preacher , and Clarion . 

Question: Is this a prop plane?

Respond only with the final answer, without explanation or full sentences.

No"
817,No wall behind the bear
818,No curtains in the image.
819,No bus
820,No
821,"Answer the following question given the text:
Text:  Headlam remained in Darwin as Controller of Operations at Headquarters North @-@ Western Area Command until 12 May 1942 , when he was posted to Nhill , Victoria , as commanding officer of No. 2 Air Navigation School , operating Ansons . No. 97 ( Reserve ) Squadron was formed from the school 's personnel in June . On 20 July 1943 , Headlam took command of No. 2 Air Observer School (   ) , also operating Ansons , at Mount Gambier , South Australia . He was promoted to group captain on 1 December 1943 , and was appointed the inaugural commanding officer of No. 3   , operating Ansons and Fairey Battles out of Port Pirie , on 9 December . After handing over command of No. 3   , he commenced studies at RAAF Staff School in Mount Martha , Victoria , on 2 October 1944 . He was appointed senior administrative staff officer at North @-@ Western Area Command on 12 January 1945 . 

Question: What letters are on the side of the plane?

Respond only with the final answer, without explanation or full sentences.

N"
822,No hot dog
823,Car
824,No
825,"Answer the following question given the text:
Text:  The area is served by two military facilities , Naval Air Station Meridian and Key Field , which provide over 4 @,@ 000 jobs . NAS Meridian is home to the Regional Counter @-@ Drug Training Academy (   ) and the first local Department of Homeland Security in the state . Key Field is named after brothers Fred and Al Key , who set a world endurance flight record in 1935 . The field is now home to the 186th Air Refueling Wing of the Air National Guard and a support facility for the 185th Aviation Brigade of the Army National Guard . Rush Foundation Hospital is the largest non @-@ military employer in the region , employing 2 @,@ 610 people . 

Question: What type of tennis court surface is this?

Respond only with the final answer, without explanation or full sentences.

Clay"
826,0
827,"Answer the following question given the text:
Text:  By the Late Classic , a network of   ( causeways ) linked various parts of the city , running for several kilometres through its urban core . These linked the Great Plaza with Temple 4 ( located about 750 metres ( 2 @,@ 460 ft ) to the west ) and the Temple of the Inscriptions ( about 1 kilometre ( 0 @.@ 62 mi ) to the southeast ) . These broad causeways were built of packed and plastered limestone and have been named after early explorers and archaeologists ; the Maler , Maudslay , Tozzer and Méndez causeways . They assisted the passage everyday traffic during the rain season and also served as dams . 

Question: How many signpost are seen?

Respond only with the final answer, without explanation or full sentences.

0"
828,No
829,"Answer the following question given the text:
Text:  Marco Polo reported the first invasions ( 1277 – 87 ) in his travelogue , Il   . The Burmese referred to the invaders as the   ( after the central Asian Turkic troops that largely made up the Mongol invasion army ) ; today , the term   (   ် ) refers to the Han Chinese instead . King   is unkindly remembered in Burmese history as   @-@ Pye Min , ( "" the King who Fled from the   "" ) . 

Question: Is it sunny out?

Respond only with the final answer, without explanation or full sentences.

No"
830,No red pillow in the text.
831,Black
832,"Answer the following question given the text:
Text:  A Little Matter of Genocide . San Francisco CA : City Lights Books . 1998 . ISBN 978 @-@ 0 @-@   @-@ 343 @-@ 9 . 

Question: Was this picture taken in front of a door way?

Respond only with the final answer, without explanation or full sentences.

No"
833,No window is covered in the text.
834,No design made out of
835,Names in black text on a black background
836,"Answer the following question given the text:
Text:  Churchill 's controversial essay on 9 / 11 was expanded into a book @-@ length manuscript , published as On the Justice of Roosting Chickens : Reflections on the Consequences of U.S. Imperial Arrogance and   ( 2003 ) by AK Press . The book features two other chapters , one listing US military interventions , another listing what Churchill believes to be US violations of international law . The original essay takes the "" roosting chickens "" of the title from a 1963 Malcolm X speech , in which Malcolm X linked the assassination of U.S. president John F. Kennedy to the violence which Kennedy perpetuated as "" merely a case of chickens coming home to roost . "" Churchill 's essays in this book address the worldwide forms of resistance that he posits were and continue to be provoked by U.S. imperialism of the 20th and 21st centuries . 

Question: Is the TV on?

Respond only with the final answer, without explanation or full sentences.

No"
837,Left
838,"Answer the following question given the text:
Text:  Moving forward under a creeping barrage as they moved beyond   , the 24th Infantry Battalion was the first to contact the Japanese , carrying out an attack against Japanese positions around Dawe 's Creek on 17 April . Supported by a troop of Matilda tanks from the 2 / 4th Armoured Regiment , an artillery barrage which fired over 700 shells , two infantry companies — ' C ' and ' D ' — from the 24th attacked the position while another — ' A ' Company — carried out a flanking manoeuvre to cut another track further north towards   and   . The left forward company — ' D ' Company — reached its objective without trouble ; however , ' C ' Company — on the right along with the troop of tanks — came up against stiff Japanese resistance and became bogged down . ' A ' Company also became embroiled in heavy fighting along the   track . In support of ' A ' Company ,   came forward and raked the jungle , hacking through the undergrowth to reveal several Japanese pillboxes , which were destroyed by the Australian armour . As night fell , ' C ' Company dug in before resuming the attack the next morning . Engineers were brought forward , as was a bulldozer , and the gap was bridged . Amidst heavy fighting , the Australians forced their way across the creek . By the time that the position had been taken in the afternoon and the infantry had advanced to the line of exploitation 400 yd ( 370 m ) beyond the creek , 37 Japanese had been killed for the loss of seven Australians killed and 19 wounded . After this , the Australians continued their advance towards   Creek , which was a further 1 mi ( 1 @.@ 6 km ) to the southeast . In response , the Japanese launched a number of determined counterattacks over the course of the following week , although these were turned back . During this time , the Australians sent a number of patrols out in front of their forward elements , one of which managed to slip through the Japanese defensive positions either side of the Buin Road and carried out a reconnaissance of the Hongorai River about 1 @,@ 000 yd ( 910 m ) south of the main crossing . Further patrols were carried out , as well as a number of ambushes , before the advance was resumed on 26 April . 

Question: What color is the traffic sign?

Respond only with the final answer, without explanation or full sentences.

No traffic sign in the text."
839,"Answer the following question given the text:
Text:  Pete   – Programming 

Question: Is this child old enough to write?

Respond only with the final answer, without explanation or full sentences.

Yes"
840,No
841,Battle honours
842,Objects are presented in a list.
843,No
844,No meat on pizza
845,The bus is not compared to the buildings in the text.
846,No
847,No
848,No
849,No
850,No tree
851,No
852,"Answer the following question given the text:
Text:  Pacifism as Pathology : Reflections on the Role of Armed Struggle in North America. with Mike Ryan ( introduction by Ed Mead ) . Arbeiter Ring . 1998 . ISBN 978 @-@ 1 @-@   @-@ 07 @-@ 5 . 

Question: Is there any toilet paper?

Respond only with the final answer, without explanation or full sentences.

No"
853,"Answer the following question given the text:
Text:  Writing for The A.V. Club , television reviewer Hayden Childs commented that "" Exit Through the Kwik @-@ E @-@ Mart "" was "" somewhat amusing and far more coherent than many recent episodes , but the satire is relatively mild . The episode   a bit while looking for a sweet ending , but it is otherwise solid enough . "" Critics have praised the opening sequence that parodies Game of Thrones . Tim Surette of TV.com called it "" one minute of genius "" , and MTV 's Brandon   wrote : "" Congratulations are in order for Matt Groening and his staff for really knocking this one out of the park . "" Jenna Busch of Zap2it and Kelly West of Cinema Blend , both fans of Game of Thrones , named the opening the best in the history of the show . IGN 's Eric Goldman commented : "" Ah , The Simpsons . Always there for us with clever / loving parody of something we all love . Such was the case last night , when the animated series opened with an epic opening credit sequence that gave us the Springfield @-@ inspired version of the terrific Game of Thrones credits . "" 

Question: What direction is shown for joggers or people on foot?

Respond only with the final answer, without explanation or full sentences.

@-@ E @-@ Mart"
854,"Answer the following question given the text:
Text:  In 2003 , Churchill stated , "" I am myself of Muscogee and Creek descent on my father 's side , Cherokee on my mother 's , and am an enrolled member of the United   Band of Cherokee Indians . "" In 1992 , Churchill wrote elsewhere that he is one @-@ eighth Creek and one @-@ sixteenth Cherokee . In 1993 , Churchill told the Colorado Daily that "" he was one @-@ sixteenth Creek and Cherokee . "" Churchill told the Denver Post in February 2005 that he is three @-@ sixteenths Cherokee . 

Question: Is the whole court blue?

Respond only with the final answer, without explanation or full sentences.

No"
855,Sullivan's Island
856,No
857,"Answer the following question given the text:
Text:  At Pagan ,   deliberated with his court for an appropriate response but ultimately refused to submit . The Burmese court may have been counting on another limited border war but the emperor now ordered an invasion of northern Burma . ( He also ordered an invasion of Champa , whose king too had refused to submit . ) The Burmese king 's troubles did not go unnoticed elsewhere in the kingdom . In the same year , a usurper named   seized the southern port city of   (   ) by killing its Pagan @-@ appointed governor . Although the king 's three sons were viceroys of the nearby Lower Burma cities ( in Bassein (   ) ,   (   ) , and   ) , the king , preoccupied with much more serious threat in the north , did not ( or could not ) take any action on   . 

Question: What kind of horse is this?

Respond only with the final answer, without explanation or full sentences.

Pagan horse"
858,"Answer the following question given the text:
Text:  Stela 10 is twinned with Stela 12 but is badly damaged . It described the accession of   ' B 'alam in the early 6th century and earlier events in his career , including the capture of a prisoner depicted on the monument . 

Question: What is in the background?

Respond only with the final answer, without explanation or full sentences.

Prisoner"
859,0
860,Wood
861,No bat in the image.
